"BTC-USD.Open","BTC-USD.High","BTC-USD.Low","BTC-USD.Close","BTC-USD.Volume","BTC-USD.Adjusted"
352.204986572266,352.384002685547,346.364990234375,346.364990234375,16427700,346.364990234375
344.339996337891,361.356994628906,338.763000488281,350.506011962891,32431300,350.506011962891
350.8330078125,352.983001708984,349.290985107422,352.5419921875,16989800,352.5419921875
352.381011962891,352.381011962891,346.588012695312,347.376007080078,11675900,347.376007080078
346.726989746094,353.316009521484,345.417999267578,351.631988525391,12415200,351.631988525391
351.360992431641,351.815002441406,344.933990478516,345.345001220703,17264200,345.345001220703
345.673004150391,345.859008789062,327.06201171875,327.06201171875,30864900,327.06201171875
326.855010986328,333.954010009766,315.152008056641,319.776000976562,37567900,319.776000976562
319.785003662109,323.709014892578,304.231994628906,311.39599609375,39173000,311.39599609375
311.178985595703,318.532989501953,306.769012451172,317.842987060547,23823100,317.842987060547
